Do you drive yourself or use a driver?,Do you attend on Sunday?,When you arrive to the campus on Sunday?,When you leave the campus on Sunday?,Do you attend on Monday?,When you arrive to the campus on Monday?,When you leave the campus on Monday?,Do you attend on Tuesday?,When you arrive to the campus on Tuesday?,When you leave the campus on Tuesday?,Parking Challenge Time,How satisfied are you with the availability of parking spaces on campus?,Provide any additional comments if you wish,Do you attend on Wednesday?,When you arrive to the campus on Wednesday?,When you leave the campus on Wednesday?,Do you attend on Thursday?,When you arrive to the campus on Thursday?,When you leave the campus on Thursday?
Drive yourself.,Yes.,9:30 AM,1:00 PM,Yes.,7:30 AM,10:00 AM,Yes.,9:30 AM,1:00 PM,10:00 AM,1,,No.,,,Yes.,9:30 AM,3:00 PM
Drive yourself.,Yes.,8:00 AM,4:00 PM,Yes.,8:00 AM,12:00 PM,Yes.,8:00 AM,4:00 PM,08:00 AM,1,,Yes.,8:00 AM,10:00 AM,Yes.,8:00 AM,12:00 PM
Drive yourself.,Yes.,9:30 AM,3:00 PM,Yes.,8:00 AM,3:30 PM,Yes.,9:30 AM,3:00 PM,08:00 AM,1,"with the increasing number of driving girls we need a solution for this problem
best answer would be more parking spots",Yes.,8:00 AM,3:30 PM,Yes.,9:00 AM,3:00 PM
Both.,Yes.,7:00 AM,12:00 PM,Yes.,7:00 AM,3:00 PM,Yes.,7:00 AM,12:00 PM,09:00 AM,1,للأسف اضطر كل يوم اجي من 7 بالرغم من انه دوامي 9 او 10 بسبب المواقف، لا يوجد مساحة ابدا و عندما بداو بالكلبشة لم يتم اخبارنا بذلك او وضع لوح إلى اليوم,Yes.,7:00 AM,2:00 PM,Yes.,7:00 AM,12:00 PM
Drive yourself.,Yes.,8:00 AM,11:00 AM,Yes.,9:00 AM,3:00 PM,Yes.,8:00 AM,11:00 AM,08:00 AM,2,"we need more parking spots near gate 3, preferably shielded from the sun",Yes.,1:00 PM,3:00 PM,Yes.,8:00 AM,11:00 AM
Drive yourself.,Yes.,7:30 AM,2:30 PM,Yes.,7:30 AM,2:30 PM,Yes.,7:30 AM,3:30 PM,08:00 AM,2,,Yes.,7:30 AM,2:30 PM,Yes.,7:30 AM,2:30 PM
Drive yourself.,Yes.,7:30 AM,2:00 PM,Yes.,7:30 AM,12:30 PM,Yes.,7:30 AM,3:00 PM,08:00 AM,1,,Yes.,7:30 AM,12:30 PM,Yes.,7:30 AM,12:30 PM
Drive yourself.,Yes.,8:00 AM,12:00 PM,Yes.,10:00 AM,3:00 PM,Yes.,8:00 AM,2:00 PM,08:30 AM,1,صار كل يوم اذا جيت بعد ٨ وربع ، شبه مستحيل القى موقف فاضي الا اذا صدفت لقيتي وحده نازله او لقيتي سواق وناديتي الامن يطلعونه,Yes.,9:30 AM,3:00 PM,Yes.,8:00 AM,2:00 PM
Drive yourself.,Yes.,8:00 AM,3:00 PM,Yes.,8:00 AM,1:00 PM,Yes.,10:00 AM,2:30 PM,08:05 AM,3,,No.,,,Yes.,8:00 AM,1:00 PM
Drive yourself.,Yes.,10:00 AM,3:00 PM,Yes.,7:30 AM,3:00 PM,No.,,,09:00 AM,1,,Yes.,7:30 AM,3:00 PM,Yes.,10:00 AM,4:00 PM
Drive yourself.,Yes.,7:30 AM,3:00 PM,Yes.,7:30 AM,12:00 PM,Yes.,7:30 AM,3:00 PM,08:15 AM,2,The parking from 8:15 am to 12 am at gate 3 so please prevent the drivers from parking there and set in their cars,Yes.,7:30 AM,12:00 PM,Yes.,7:30 AM,12:00 PM
Drive yourself.,Yes.,10:00 AM,3:00 PM,Yes.,7:30 AM,12:30 PM,Yes.,7:30 AM,12:30 PM,09:00 AM,1,,Yes.,7:30 AM,12:00 PM,No.,,
Drive yourself.,Yes.,7:30 AM,3:00 PM,Yes.,7:30 AM,11:30 AM,Yes.,9:00 AM,12:00 PM,08:15 AM,1,Worst parking lot ever honestly,Yes.,9:00 AM,12:00 PM,Yes.,9:00 AM,2:00 PM
Drive yourself.,Yes.,8:00 AM,11:00 AM,No.,,,Yes.,8:00 AM,2:30 PM,08:10 AM,1,"Some drivers are using the lane in front of the parking entrance to drop off students, causing delays for those trying to park. This is especially frustrating because there are two designated drop-off lanes available. Also, after 12 PM, buses and vans are waiting in the parking lot for students, often blocking available parking spots closer to the gate. 
 I suggest either returning to the previous system, where a different entrance was used for parking only, or enforcing a no-drop-off rule in the lane where the parking entrance is located.",Yes.,10:00 AM,11:00 AM,Yes.,8:00 AM,11:00 AM
Drive yourself.,Yes.,8:00 AM,2:00 PM,Yes.,9:30 AM,12:00 PM,Yes.,8:00 AM,12:00 PM,09:45 PM,2,There’s barely any parking that fits multiple colleges and in top of that there’s a lot of men drivers who park in the parking that’s supposed to be for the students,Yes.,8:00 AM,12:00 PM,Yes.,8:00 AM,2:00 PM
Drive yourself.,Yes.,7:30 AM,2:00 PM,Yes.,7:30 AM,1:00 PM,Yes.,7:30 AM,1:00 PM,07:50 AM,2,,Yes.,7:30 AM,1:00 PM,Yes.,7:30 AM,1:00 PM
Drive yourself.,Yes.,9:00 AM,2:00 PM,Yes.,10:00 AM,2:00 PM,Yes.,9:00 AM,3:00 PM,09:00 AM,3,,Yes.,10:00 AM,2:00 PM,Yes.,9:00 AM,2:00 PM
Drive yourself.,Yes.,7:00 AM,3:00 PM,Yes.,7:00 AM,12:00 PM,Yes.,7:00 AM,3:00 PM,08:00 AM,3,,Yes.,7:00 AM,3:00 PM,Yes.,7:00 AM,3:00 PM
Drive yourself.,Yes.,7:00 AM,11:00 AM,Yes.,7:00 AM,1:00 PM,Yes.,7:00 AM,1:00 PM,09:30 AM,1,,Yes.,9:30 AM,1:00 PM,Yes.,7:00 AM,1:00 PM
Drive yourself.,Yes.,8:00 AM,12:30 PM,Yes.,9:00 AM,2:00 PM,Yes.,8:00 AM,12:30 PM,09:00 AM,2,مظللاتت,Yes.,9:30 AM,3:00 PM,Yes.,9:00 AM,3:00 PM
Drive yourself.,Yes.,7:30 AM,2:30 PM,No.,,,Yes.,9:00 AM,2:30 PM,09:00 AM,1,We need more parking spaces!!,No.,,,Yes.,7:30 AM,4:00 PM
Drive yourself.,Yes.,8:00 AM,12:00 PM,No.,,,Yes.,8:00 AM,12:00 PM,10:00 AM,1,,Yes.,8:00 AM,3:00 PM,Yes.,8:00 AM,12:00 PM
Drive yourself.,Yes.,8:30 AM,3:00 PM,Yes.,6:30 AM,12:00 PM,Yes.,6:30 AM,12:00 PM,07:11 PM,1,,No.,,,Yes.,8:30 AM,12:00 PM
Drive yourself.,Yes.,8:00 AM,1:00 PM,Yes.,8:00 AM,2:00 PM,Yes.,8:00 AM,2:30 PM,09:30 AM,1,نبغى مظلات ، ضروري منع السائقين من دخول المواقف وتخصيصها للبنات فقط ( السواق عادي يوقف بعيد ),No.,,,Yes.,8:00 AM,2:30 PM
Drive yourself.,Yes.,8:00 AM,3:00 PM,No.,,,Yes.,8:00 AM,3:00 PM,10:00 AM,2,,No.,,,Yes.,8:00 AM,12:00 PM
